,wav,transcription,t_length,file_Location,duration
0,SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part100.wav,yanayo andaliwa nami pendo pondo idhaa ya kiswahili,51,../data/alldata/SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part100.wav,3.1
1,SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part101.wav,inayokutangazia moja kwa moja kutoka jijini dar es salaam tanzania,66,../data/alldata/SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part101.wav,3.6500226757369614
2,SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part102.wav,juma hili bara la afrika limeshuhudia raia wa nchi za niger,59,../data/alldata/SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part102.wav,3.9
3,SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part103.wav,wakipiga kura ya maoni ilikufanya mabadiliko ya,47,../data/alldata/SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part103.wav,2.94
4,SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part104.wav,kule abidjan raia wa jiji hilo,30,../data/alldata/SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part104.wav,2.4500226757369616
5,SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part105.wav,walipata fursa ya kutumia haki yao ya msingi,44,../data/alldata/SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part105.wav,2.62
6,SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part106.wav,waziri mkuu wa zamani alasane watara,36,../data/alldata/SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part106.wav,2.48
7,SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part107.wav,na rais aliyetangulia henry konan berdi,39,../data/alldata/SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part107.wav,3.5300226757369613
8,SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part108.wav,walichuana vikali na rais lauren bagbo,38,../data/alldata/SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part108.wav,2.74
9,SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part109.wav,matokeo ya uchaguzi mkuu wa nchi ya cote de ivoire inayoongoza kwa uzalishaji wa kakao duniani,94,../data/alldata/SWH-05-20101106_16k-emission_swahili_05h30_-_06h00_tu_20101106_part109.wav,5.1
